Country,City,Month,Year,avgTempFahr,avgTempCels
Algeria,Algiers,5,2006,69.06451612903226,20.591397849462364
Algeria,Algiers,5,2007,66.43225806451613,19.12903225806452
Algeria,Algiers,5,2008,65.56129032258065,18.64516129032258
Algeria,Algiers,5,2009,69.12903225806451,20.627240143369175
Algeria,Algiers,5,2010,64.09354838709677,17.829749103942653
Algeria,Algiers,5,2011,67.4483870967742,19.693548387096776
Algeria,Algiers,5,2012,65.96774193548387,18.870967741935484
Algeria,Algiers,5,2013,63.07096774193548,17.26164874551971
Algeria,Algiers,5,2014,64.76774193548387,18.204301075268816
Algeria,Algiers,5,2015,67.51935483870967,19.73297491039426
Algeria,Algiers,5,2016,60.17741935483871,15.654121863799284
Algeria,Algiers,5,2017,67.8258064516129,19.903225806451612
Algeria,Algiers,5,2018,63.42580645161291,17.458781362007173
